"Zeitstempel","Geschlecht","Alter","Wieviele Stunden haben Sie am Tag zu Ihrer Höchstzeit Videospiele gespielt?","Wieviele Stunden verbringen Sie am Tag insgesamt am Computer?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Schwierigkeitsgrad","Level erfolgreich bestanden?","Welches Atmosphäre hat Ihnen mehr Spass gemacht?","Kommentar und Verbesserungsvorschläge"
"2018/01/24 11:34:44 nachm. MEZ","Männlich","23","13","12","1","Ja","1","Ja","3","Ja","2","Ja","2","Ja","1","Ja","1","Ja","1","Ja","1","Ja","1","Ja","Horror Atmosphäre",""
"2018/01/24 11:36:04 nachm. MEZ","Männlich","24","12","12","1","Ja","1","Ja","1","Ja","1","Ja","2","Ja","1","Ja","1","Ja","1","Ja","1","Ja","2","Ja","Happy Atmosphäre",""
"2018/01/24 11:39:03 nachm. MEZ","Männlich","24","15","8","1","Ja","4","Ja","3","Ja","3","Ja","5","Ja","1","Ja","5","Nein","3","Ja","4","Ja","4","Ja","Horror Atmosphäre",""
"2018/01/24 11:39:16 nachm. MEZ","Männlich","21","12","8","2","Ja","2","Ja","1","Ja","1","Ja","3","Nein","1","Ja","2","Ja","2","Ja","1","Ja","2","Ja","Horror Atmosphäre",""
"2018/01/25 9:23:34 vorm. MEZ","Weiblich","22","0,5","2","4","Ja","5","Ja","4","Ja","3","Nein","3","Ja","6","Ja","4","Ja","4","Nein","6","Nein","4","Ja","Happy Atmosphäre",""
"2018/01/25 9:30:35 vorm. MEZ","Weiblich","21","1","9","2","Ja","2","Ja","5","Nein","4","Ja","6","Nein","1","Ja","3","Nein","5","Nein","3","Ja","3","Ja","Horror Atmosphäre",""
"2018/01/25 10:26:51 vorm. MEZ","Weiblich","21","5","1,5","2","Ja","6","Nein","3","Ja","4","Ja","7","Nein","2","Ja","2","Ja","2","Ja","3","Ja","6","Nein","Horror Atmosphäre","Bei der Rotation bekommt man auch einen kurzen Überblick über das Feld. Die Rotation selbst hat mich nicht so gestört, der Überblick aber sehr geholfen, deswegen hab ich mich über die Kiste gefreut! (Was vielleicht nicht der Sinn war.) Ansonsten lustiges Spiel. :) "
"2018/01/25 11:08:47 vorm. MEZ","Weiblich","23","3","9","1","Ja","1","Ja","3","Nein","5","Nein","5","Ja","1","Ja","2","Ja","4","Ja","2","Ja","4","Ja","Happy Atmosphäre",""
"2018/01/25 11:33:54 vorm. MEZ","Weiblich","22","3","8","3","Nein","4","Nein","4","Nein","4","Nein","4","Nein","2","Ja","3","Nein","2","Ja","1","Ja","3","Ja","Happy Atmosphäre",""
"2018/01/25 11:39:32 vorm. MEZ","Männlich","27","14","14","2","Ja","3","Ja","4","Ja","5","Ja","6","Ja","7","Ja","1","Ja","2","Ja","3","Ja","4","Ja","Happy Atmosphäre","get your shit together"
"2018/01/25 11:39:38 vorm. MEZ","Männlich","22","6","5","2","Ja","4","Nein","3","Ja","3","Ja","6","Nein","1","Ja","5","Nein","5","Nein","3","Ja","3","Ja","Horror Atmosphäre","Fratzenanzahl ist gut. Es ist nicht zu häufig. Habe mich erst sicher gefühlt auf einmal Fratze. Manchmal hat man einfach Teleporationspech oder Pech den falschen Weg ausprobiert zu haben. Schöne Soundfiles. Verbesserungen: keine Ahnung"
"2018/01/25 11:39:44 vorm. MEZ","Männlich","22","6","7","2","Ja","5","Nein","4","Ja","3","Ja","3","Ja","1","Ja","2","Ja","3","Ja","4","Ja","6","Ja","Horror Atmosphäre",""
"2018/01/25 11:40:23 vorm. MEZ","Männlich","22","6","8","7","Nein","5","Ja","6","Ja","4","Ja","7","Nein","2","Ja","4","Ja","5","Ja","3","Ja","7","Ja","Horror Atmosphäre","buggy wie fick und beim Jump-Scare waren Bild und Ton nicht synchron"
"2018/01/25 11:41:30 vorm. MEZ","Männlich","26","6","5","5","Nein","4","Ja","7","Ja","7","Nein","7","Nein","2","Ja","3","Ja","2","Ja","3","Ja","6","Nein","Happy Atmosphäre",""
"2018/01/25 11:42:39 vorm. MEZ","Männlich","23","14","10","1","Ja","1","Ja","4","Nein","2","Ja","4","Ja","1","Ja","1","Ja","1","Ja","1","Ja","3","Ja","Happy Atmosphäre",""
"2018/01/25 11:52:56 vorm. MEZ","Weiblich","22","6","6","2","Ja","2","Ja","3","Ja","4","Ja","4","Ja","1","Ja","1","Ja","1","Ja","2","Ja","3","Ja","Happy Atmosphäre",""
"2018/01/25 12:27:48 nachm. MEZ","Männlich","23","6","30 Minuten","1","Ja","4","Ja","3","Ja","3","Ja","5","Ja","1","Ja","2","Ja","2","Ja","3","Ja","4","Ja","Horror Atmosphäre",""
"2018/01/25 12:35:59 nachm. MEZ","Weiblich","20","4","1","2","Ja","4","Ja","5","Ja","4","Ja","6","Nein","1","Ja","1","Ja","2","Ja","2","Ja","4","Ja","Horror Atmosphäre","Ich möchte die coole Kugel wieder haben :)"
"2018/01/25 12:52:27 nachm. MEZ","Männlich","22","0","4","4","Ja","4","Ja","6","Ja","5","Ja","6","Ja","4","Ja","3","Ja","5","Ja","5","Ja","6","Ja","Happy Atmosphäre",""
"2018/01/25 12:58:47 nachm. MEZ","Weiblich","20","4","1","4","Ja","4","Ja","3","Ja","4","Ja","2","Nein","1","Ja","5","Nein","2","Ja","3","Ja","5","Ja","Horror Atmosphäre","Anderer Boden bei Happy Atmosphäre; als Figur eigenet sich eine weibliche Figur besser"
"2018/01/25 1:14:19 nachm. MEZ","Weiblich","25","2","8","1","Ja","2","Ja","3","Nein","4","Ja","5","Nein","1","Nein","2","Ja","3","Ja","4","Ja","5","Ja","Happy Atmosphäre",""
"2018/01/25 1:35:00 nachm. MEZ","Männlich","22","10","12","2","Ja","5","Ja","4","Ja","4","Ja","3","Nein","1","Ja","1","Ja","1","Ja","2","Ja","5","Ja","Horror Atmosphäre","Es hat mehr Spaß gemacht, weil es herausfordernder war. Jedoch hat der Ton nicht funktioniert."
"2018/01/25 1:51:56 nachm. MEZ","Männlich","22","8","8","1","Ja","1","Ja","1","Ja","2","Ja","3","Nein","1","Ja","1","Ja","2","Nein","2","Nein","3","Nein","Horror Atmosphäre",""
"2018/01/25 4:41:31 nachm. MEZ","Männlich","22","10","4","1","Ja","2","Ja","3","Ja","3","Ja","4","Ja","1","Ja","2","Ja","3","Ja","4","Ja","6","Ja","Happy Atmosphäre",""
